Incident Date,# Killed
31-Oct-17,1
30-Oct-17,0
29-Oct-17,1
28-Oct-17,1
27-Oct-17,0
26-Oct-17,0
25-Oct-17,0
24-Oct-17,0
23-Oct-17,2
22-Oct-17,2
21-Oct-17,0
20-Oct-17,0
19-Oct-17,0
18-Oct-17,3
17-Oct-17,0
16-Oct-17,1
15-Oct-17,3
14-Oct-17,0
13-Oct-17,0
12-Oct-17,2
11-Oct-17,4
10-Oct-17,0
9-Oct-17,0
8-Oct-17,0
7-Oct-17,0
6-Oct-17,0
5-Oct-17,4
4-Oct-17,0
3-Oct-17,0
2-Oct-17,0
1-Oct-17,62
